inflows_1,inflows_2,inflows_3,inflows_4,inflows_5,inflows_6,inflows_7,inflows_8,inflows_9,total_inflows,outflows_1,outflows_2,outflows_3,outflows_4,outflows_5,total_outflows
9029263.0,6040509.0,9644198.0,4791518.0,5192755.0,7851158.0,4959212.12,9410036.0,9889337.0,66807986.12,-8355423.14,-6080302.31,-5058106.38,-4481595.0,-6173626.0,-30149052.83
1906927.15,2530177.1,9275064.0,9240763.0,3844393.78,8161060.82,430682.42,3648745.04,7765562.0,46803375.31,-9793595.0,-529959.0,-8788554.0,-1639502.88,-2097260.0,-22848870.88
4160217.27,418030.91,4899123.48,3927473.0,1455694.0,3944313.02,9903021.0,769260.31,1920704.66,31397837.65,-5861952.0,-1490403.0,-9112579.0,-8834524.0,-3184495.0,-28483953.0
5971818.11,3539068.81,2268649.0,2712769.59,2874585.93,4281496.29,8239978.73,4783854.46,8371072.0,43043292.92,-7143010.0,-3527904.92,-3413213.0,-7673304.0,-7821502.14,-29578934.06
6916516.21,2568675.0,2301218.29,3447747.46,7676634.0,1358095.09,1422501.09,6607828.0,9963626.0,42262841.14,-1941733.0,-1108955.0,-1135426.0,-8515283.0,-7083863.0,-19785260.0
2372818.0,9290078.0,7630671.23,3370027.49,2354338.09,1392112.55,1222062.99,3798155.0,6485250.0,37915513.35,-4503316.12,-255333.0,-8234989.1,-246000.0,-1256097.0,-14495735.22
2698105.13,311516.96,4164369.09,1844810.39,3543150.59,2408673.05,5477053.26,2673114.66,5140520.0,28261313.13,-3031841.0,-3808938.47,-3580554.0,-8351602.2,-7753214.95,-26526150.62
3630153.0,4840475.0,7859525.0,9589485.0,5816558.0,9075520.0,593147.18,3247600.67,2982537.76,47635001.61,-2535686.93,-6633147.0,-6716387.0,-4040980.0,-9669220.0,-29595420.93
7128021.03,7874008.0,2480803.0,4586872.0,1361568.77,8277969.0,8665761.0,2647610.19,9550280.0,52572892.99,-752343.0,-6057403.0,-1834407.0,-7959353.0,-3589917.94,-20193423.94
4288809.0,6553209.0,1395279.38,2209631.51,5041687.0,5247697.0,8006840.0,9235275.0,516618.1,42495045.99,-4215084.0,-4923201.0,-5877887.0,-8941671.0,-2888521.0,-26846364.0
2028957.85,3090810.0,7136280.77,9809902.0,8413704.0,4246981.0,2711217.99,180548.61,1768644.3,39387046.52,-9956893.0,-621617.0,-784677.0,-8726669.0,-4726599.86,-24816455.86
9597260.0,5800610.0,497965.13,1102138.92,6881543.0,4618499.33,1098105.28,567790.53,5959653.0,36123565.19,-6758052.44,-3643264.01,-9877597.0,-5209413.0,-3350516.43,-28838842.88
4608855.55,9430092.0,9521195.0,3169258.51,4015691.0,3238186.0,1665069.1,9888078.0,7328546.0,52864971.16,-6565869.25,-9586907.0,-9929816.0,-1454772.0,-8107560.0,-35644924.25
822706.07,4266383.3,9840770.0,1924547.17,8468974.0,5392215.0,5440167.0,9057533.0,3553649.0,48766944.54,-6886193.0,-2356384.0,-6411149.0,-2352418.0,-732616.0,-18738760.0
5560083.51,9531760.0,6595678.0,7766906.0,9090280.0,1466876.5,9232393.0,4721708.6,1966704.51,55932390.12,-1771011.9,-2414226.61,-3306599.61,-1898988.95,-9099108.0,-18489935.07
7177133.34,5911875.0,9744858.0,7558893.4,4971476.45,6557317.0,1043760.22,7025256.18,4104866.32,54095435.91,-3893431.59,-2544616.39,-5611764.0,-7065669.0,-7282900.2,-26398381.18
198764.81,5725461.96,1462744.75,4790110.43,3611239.0,3341626.64,6429437.94,8453805.0,4254187.81,38267378.34,-8840447.0,-5688227.0,-1850867.0,-4154633.0,-9242354.0,-29776528.0
2205116.62,833557.76,5875750.0,5854147.98,6022704.25,814042.17,4441076.41,1622777.42,9361239.0,37030411.61,-2147821.0,-5906533.72,-7237690.0,-8959157.0,-3090543.0,-27341744.72
7399067.67,1645412.0,6809292.0,2108440.4,6196794.0,8515332.0,9107153.0,2869806.72,740496.15,45391793.94,-3744758.0,-3224880.9,-564312.0,-213713.0,-2926667.0,-10674330.9
3107101.35,1534209.21,6671224.72,1615144.1,7537728.0,5990536.91,9425491.0,6181374.9,7916406.0,49979216.19,-3749024.09,-5844395.0,-7062814.0,-8679676.0,-4251041.0,-29586950.09
4872304.0,2788706.31,5791158.0,5991625.0,284624.56,8230708.54,4630437.0,1870191.95,3744397.38,38204152.74,-3265432.0,-7565465.0,-2609587.0,-9561930.0,-5024964.35,-28027378.35
2810609.33,242310.71,2999929.18,9056715.0,9129060.0,5828062.0,3392038.46,906817.42,740723.28,35106265.38,-8228682.0,-372222.0,-2391715.79,-149368.0,-9477801.0,-20619788.79
5705373.0,4870585.91,538813.95,4187379.65,296365.25,9784247.0,3004425.27,4790903.6,7513573.0,40691666.63,-9944086.0,-3844463.0,-4135668.0,-58452.0,-6026403.0,-24009072.0
7371622.8,232562.85,381136.56,804562.43,8658866.0,6767436.0,1932246.58,2182817.67,4494106.54,32825357.43,-8376855.56,-5086241.0,-6460352.0,-3232059.0,-1477669.0,-24633176.56
3072479.55,9131038.0,5539231.0,4782838.84,110684.17,6795519.45,3025643.73,3611484.22,2581302.0,38650220.96,-3633502.98,-6216079.0,-211372.0,-1510301.0,-9232774.0,-20804028.98
9073401.0,4178272.27,9745508.0,592332.52,6874489.0,1916444.09,2952126.49,9201042.0,195397.35,44729012.72,-3355584.05,-8173759.0,-6334939.0,-9052691.0,-1744581.4,-28661554.45
819721.56,5162477.66,7318517.0,7695341.0,2942549.17,2145277.0,3311450.68,9254409.0,5595460.07,44245203.14,-3724021.0,-5331391.67,-8695002.0,-8049807.19,-961584.0,-26761805.86
2182162.8,6173006.0,5191750.0,6129738.19,8328038.76,6749190.95,5816801.18,6404277.0,420888.76,47395853.64,-2196797.61,-4677824.0,-4542173.19,-6415858.0,-7395018.0,-25227670.8
3674642.79,281231.86,1667623.79,2061537.3,113144.12,5082311.65,2086104.98,8673888.0,4049214.0,27689698.49,-2999505.96,-4316041.08,-7338175.0,-7813230.0,-2714609.15,-25181561.19
5295576.03,1340159.11,2127180.27,5208811.0,2649085.54,3896408.0,1352838.28,7008546.8,1615569.0,30494174.03,-9015629.0,-9453906.0,-3467475.0,-10440.0,-1039889.0,-22987339.0
348764.69,2239987.29,4098795.86,1823513.0,188709.18,6333468.0,2463228.0,7194131.43,3488294.0,28178891.45,-6001761.0,-8553826.0,-3463195.0,-4824401.0,-4270671.42,-27113854.42
7064640.33,3436217.97,3078773.66,1192140.82,7917477.4,8740331.0,8457839.0,3757791.71,9414041.0,53059252.89,-2787857.0,-8486020.0,-4292067.0,-7526986.0,-1683868.0,-24776798.0
2091871.37,2151966.46,9283203.0,3278841.0,6892873.17,9382039.0,8949244.0,1558440.54,4674594.0,48263072.54,-4277971.06,-6064296.65,-1927792.39,-4441450.0,-6338168.0,-23049678.1
7326366.86,8188441.03,2237932.97,44472.65,3504884.1,5575766.91,9300372.0,4035761.64,2916141.59,43130139.75,-7237885.0,-1807299.55,-9971641.0,-9094607.0,-7446550.5,-35557983.05
6368810.0,32063.61,3744258.59,7666904.14,1011824.02,4732252.25,7406712.55,329112.81,5390598.0,36682535.97,-62375.0,-1613372.16,-8123172.07,-2491476.68,-6765902.0,-19056297.91
8996002.0,6334295.95,1814686.62,7901302.77,3103120.21,6964552.08,3412325.0,6515186.53,2537379.33,47578850.49,-8877125.0,-5008187.31,-2801810.0,-5530086.65,-7786402.78,-30003611.74
5510271.0,9179703.0,8045467.0,3181193.01,7689553.0,8759861.0,2776625.68,7837240.0,3146439.85,56126353.54,-6507396.0,-5364895.0,-4013202.0,-2038295.0,-8339865.0,-26263653.0
1712323.47,5014365.47,6762570.53,3753644.46,1237778.35,2870407.8,1815562.76,1604812.1,2532040.83,27303505.77,-5488577.37,-2200255.0,-1840657.0,-6245558.65,-9449879.0,-25224927.02
5533814.0,6629927.0,3718295.0,6930841.0,1037982.54,6450130.0,9390979.0,2994225.65,6956763.0,49642957.19,-7870221.0,-5003030.92,-8885529.0,-5939060.0,-9641462.0,-37339302.92
5022933.0,1054225.0,1741576.09,4352895.0,5717493.0,9462799.0,6422880.0,1804461.36,7207105.26,42786367.71,-4724167.0,-5758990.0,-9524849.0,-60321.0,-8046453.19,-28114780.19
1179651.99,1255839.97,6291672.8,5278525.0,2692432.69,3326544.32,8322619.79,1439964.0,3280996.08,33068246.64,-5702334.97,-2461656.0,-6407500.64,-4498906.0,-2668187.87,-21738585.48
8992937.0,9899099.0,5688353.29,3150177.28,4073436.9,3326562.33,647965.26,6603830.35,6566221.03,48948582.44,-8724667.0,-9696853.0,-4208124.0,-7656880.0,-3016289.0,-33302813.0
6927735.0,801829.95,9742836.0,4017307.63,7795384.0,9955717.0,1327162.54,7392913.0,9715783.0,57676668.12,-5320036.0,-9414010.0,-7405230.0,-9755725.0,-5164889.0,-37059890.0
1800382.95,251587.59,4004861.49,788327.63,5186915.8,1710998.86,9704654.0,3210847.85,1116415.0,27774991.17,-8926348.0,-2234486.92,-8473076.0,-8958877.0,-8310394.0,-36903181.92
502622.68,5548422.0,9354587.0,1802353.25,5410263.64,8443406.0,8782800.0,5305999.41,9981639.0,55132092.98,-7287082.0,-2707091.65,-530845.0,-7776943.06,-8392007.0,-26693968.71
3547209.17,5661411.46,6863091.59,5414552.31,4628609.0,8850860.0,3150012.0,9738836.0,6990968.0,54845549.53,-9688269.0,-150385.0,-7553157.0,-7032863.0,-7609366.32,-32034040.32
7887852.0,7236062.12,182451.34,1318895.02,1595443.76,7181739.21,9378653.0,3630431.32,6456482.0,44868009.77,-2769642.55,-4729128.0,-9484297.0,-7297772.73,-7881253.0,-32162093.28
2897866.58,1481364.23,6066808.0,4219163.86,9169965.0,2489215.94,4119538.69,6246769.15,3462201.0,40152892.45,-5492820.48,-7902054.0,-8436647.0,-5898726.0,-9435324.0,-37165571.48
7846619.0,591247.31,2977192.0,9331947.0,4567794.18,5036537.0,7013444.0,1755846.98,4411522.0,43532149.47,-7195106.34,-4921099.57,-3360978.0,-8956588.0,-5483982.24,-29917754.15
5001960.0,3765688.05,5437834.0,5603610.64,5685985.15,1552749.03,4919771.74,5577636.94,8139277.82,45684513.37,-5070685.0,-2055075.0,-224800.0,-5264034.0,-4002756.15,-16617350.15
9831585.0,4681771.0,1933175.45,7272072.0,5865492.46,2552362.04,9721079.0,4447644.0,6376613.53,52681794.48,-1847900.0,-2357914.0,-2516240.0,-5127858.99,-441541.0,-12291453.99
9653660.0,7088200.0,2664418.03,9817396.0,9393908.0,4274027.26,4049452.43,341516.96,1508555.08,48791133.76,-7486986.0,-9102791.0,-5878694.84,-3019349.0,-248187.0,-25736007.84
9052056.0,9843205.0,3892712.0,8765768.0,2727224.88,443839.06,4719108.0,6794516.09,4241414.0,50479843.03,-2944169.22,-3218571.0,-7301634.0,-8712163.0,-3499813.0,-25676350.22
8128833.54,1366594.0,7005300.0,5430656.0,1221963.06,8948338.0,4198826.0,5590441.12,3201184.41,45092136.13,-6556171.0,-2246781.0,-6316188.0,-692497.0,-7937863.0,-23749500.0
5053336.82,7039147.52,2116668.67,2092327.0,7209245.47,2903333.0,3206731.29,9422913.0,8058835.89,47102538.66,-3024112.95,-7056130.06,-9470221.0,-5996795.26,-8781979.0,-34329238.27
2476853.12,5884443.0,2980542.71,3046754.58,1433655.46,8678861.0,3029255.95,5812607.0,6808790.0,40151762.82,-2870032.91,-419019.0,-4044376.34,-6689467.0,-6421010.0,-20443905.25
7605570.0,9655679.0,1417137.05,1627433.0,6814061.0,3165860.89,8472452.0,7073928.1,135247.07,45967368.11,-9052436.0,-5014427.0,-7248649.0,-2188881.71,-2870848.18,-26375241.89
4628585.0,8962729.0,2919159.74,8925175.0,7467668.0,8466831.0,3008208.37,2897201.0,317715.53,47593272.64,-3670771.0,-5084606.17,-1096354.0,-3651972.52,-4304587.64,-17808291.33
1836666.53,2431233.5,9620292.0,7796069.0,9930699.0,7858115.0,1702098.0,4715120.0,4952994.98,50843288.01,-4339517.59,-4603120.03,-775591.0,-9936810.0,-9411010.0,-29066048.62
3387007.0,7925435.0,7605227.9,722877.98,6903.32,5006999.03,7220246.0,1172149.95,602894.84,33649741.02,-4229493.0,-5566642.42,-1555377.0,-2513480.0,-685370.0,-14550362.42
2004312.0,8549694.0,8129518.53,5691256.0,2839415.0,7934444.94,2292184.0,5725339.63,7989528.52,51155692.62,-2027665.0,-8485488.0,-9947868.0,-9345839.0,-9234273.0,-39041133.0
9213828.0,6519037.0,907077.0,4373786.0,6935102.0,8627071.0,4159682.96,5827214.75,553593.41,47116392.12,-9759304.0,-1652895.0,-3227338.0,-8648561.0,-9187352.0,-32475450.0
7846301.08,9051005.0,9163647.0,5345487.0,9650006.0,5895578.0,7039353.0,524564.71,1285032.55,55800974.34,-9507924.0,-4658177.4,-407837.0,-5285011.0,-3527333.99,-23386283.39
8031180.0,984907.79,9217316.0,8616347.0,7228752.0,1349794.07,738804.03,794451.87,4428392.0,41389944.76,-9814809.0,-1020239.0,-3062733.0,-1243764.0,-2100061.29,-17241606.29
2102099.0,7327554.96,7001084.69,8682224.0,7351033.47,3835788.0,9712386.0,3003256.0,6732899.0,55748325.12,-5979222.0,-1028195.0,-9469255.0,-6189754.0,-2266074.55,-24932500.55
4480942.38,9409328.0,860115.18,434575.87,6579032.0,4537076.3,9569377.0,4311362.17,1437087.84,41618896.74,-2511626.68,-6432660.48,-8034669.0,-7081188.26,-8867003.0,-32927147.42
1480834.66,6470091.46,4038278.0,7580707.0,6650603.73,1945741.64,7297103.18,6335066.0,4832694.88,46631120.55,-9375954.0,-1674480.0,-4651357.0,-6481096.0,-1558340.0,-23741227.0
3000032.02,4450404.66,4304108.42,2831865.73,823650.0,51111.66,512869.68,200876.31,8571578.0,24746496.48,-7588687.0,-4852490.0,-4074484.79,-9876121.0,-1770574.0,-28162356.79
1054685.38,4358208.4,2802898.13,1421630.22,2963731.0,4535464.33,781907.91,4938509.0,8468488.0,31325522.37,-5750270.47,-3551424.7,-452898.0,-7015471.0,-9251771.0,-26021835.17
247544.39,5803817.0,61550.68,5827457.0,8882340.0,6980574.67,3488006.26,4763995.0,9812845.0,45868130.0,-6552398.0,-627065.0,-2549358.0,-981155.0,-5677440.37,-16387416.37
1994098.65,596373.54,7713384.89,9265383.0,7261783.82,2761129.0,8018730.0,1222898.52,3311003.0,42144784.42,-6082267.74,-9932251.0,-9825585.0,-1974264.0,-1524735.0,-29339102.74
2913951.15,233326.33,9998106.0,1306009.17,3416006.0,3544870.13,8763977.0,2135333.52,7203993.93,39515573.23,-2950736.96,-4401569.0,-6651450.0,-7267873.0,-7343110.0,-28614738.96
8153885.0,1142688.42,5056144.21,5327229.0,492604.82,5742250.72,7595433.0,1223693.03,1126563.12,35860491.32,-1146061.0,-482609.0,-8841070.0,-4491493.15,-1441685.0,-16402918.15
4508033.68,3647292.27,5445449.0,3339530.29,6972275.6,5312612.0,6033846.12,2911106.27,6151332.73,44321477.96,-2348275.0,-2984887.24,-3067235.0,-9340940.0,-6119626.0,-23860963.24
5667324.94,5587705.0,5831856.16,5465367.79,6027605.0,7417445.0,9458302.0,3337301.1,2179944.78,50972851.77,-7222843.0,-7162643.0,-9326778.0,-9898879.0,-1445861.0,-35057004.0
1175254.98,7897116.0,9892820.0,6244367.0,4482449.44,1168682.49,1087314.44,412447.43,1752220.25,34112672.03,-117669.0,-4771367.05,-2350818.41,-3357247.0,-6952685.0,-17549786.46
6343255.18,1157030.0,6054690.0,1492263.85,1210905.33,9596492.0,193577.01,3502493.37,7068386.6,36619093.34,-8015314.0,-8782395.0,-6668810.0,-9321661.0,-6862315.29,-39650495.29
4901805.0,8808743.0,8874895.0,3425954.0,4085974.27,939108.46,5705167.0,8777002.0,9344488.0,54863136.73,-9747347.0,-3616389.6,-82269.0,-9754532.0,-3439038.0,-26639575.6
3002064.0,6650838.0,2774223.27,932663.97,5896887.13,2465425.71,3840310.0,9308843.0,7070404.14,41941659.22,-6103791.0,-5247011.0,-8159855.39,-652932.0,-4242346.0,-24405935.39
6791285.74,9543173.0,1209559.15,8302591.0,7995244.0,5679320.0,544831.06,2331652.0,2882118.0,45279773.95,-4233838.1,-7172667.0,-8473353.0,-6743047.0,-2357971.4,-28980876.5
6368209.0,7554113.72,1313867.61,1736002.99,8033871.0,4348434.4,4866848.82,1914036.36,8833773.0,44969156.9,-4027634.0,-2014614.91,-6042747.0,-5957839.0,-5756900.0,-23799734.91
9453917.0,8287750.0,2806848.0,4526965.0,1968593.2,8576665.0,9213502.0,7483925.0,6833611.68,59151776.88,-2710531.66,-1085445.0,-579894.0,-1543517.0,-8310289.01,-14229676.67
7757197.0,7183220.0,2129612.58,5733433.58,2299235.0,7024837.94,3153542.0,144164.41,6883214.62,42308457.13,-6744439.69,-3516118.13,-4149039.23,-6006427.0,-7267495.0,-27683519.05
2684875.37,9126954.0,7954391.0,6243433.96,6220383.36,9415693.0,3913422.69,5563869.58,3937803.0,55060825.96,-9138826.0,-4928197.86,-6335634.0,-8725723.0,-3274720.72,-32403101.58
3302306.0,3663993.01,7062182.17,3028375.53,6906341.0,5942390.26,1573330.37,171507.82,8675752.0,40326178.16,-5431847.0,-5982547.0,-8591005.0,-372905.0,-4087227.0,-24465531.0
6542936.33,2871204.46,4957397.94,2223567.01,3604123.12,107232.73,9510227.0,7766687.41,6848192.0,44431568.0,-1196655.0,-8456374.0,-5760896.0,-1560644.0,-7770274.0,-24744843.0
9229271.0,7626532.0,6131930.41,40574.65,2388461.91,8980491.0,5586702.98,8424514.0,7604233.0,56012710.95,-5985563.0,-752455.0,-850030.0,-3342322.89,-5389509.55,-16319880.44
8361279.0,5223806.0,3368673.0,8094939.37,9013533.0,3680895.0,4869624.0,6514966.21,6318547.0,55446262.58,-2744901.34,-7760915.0,-911411.0,-7982754.0,-3032878.77,-22432860.11
5735438.12,4491519.95,855172.59,9341853.0,9354006.0,8234249.81,409706.59,4010109.11,3253644.33,45685699.5,-1876875.97,-5562365.68,-6616098.0,-2353199.38,-4028091.0,-20436630.03
8487667.0,7937046.71,5054901.0,2941393.0,1908063.89,4423890.0,844901.11,1803671.02,7522673.0,40924206.73,-3647717.15,-3230869.09,-1922555.66,-6056641.0,-8432206.0,-23289988.9
3612387.64,3955492.0,5352701.0,5050124.0,2351351.35,559774.09,468481.75,968057.89,7982976.69,30301346.41,-9415260.0,-5115599.0,-7147628.0,-3519558.0,-8749807.0,-33947852.0
3900957.76,9454047.0,5586102.0,3247904.31,9068088.0,7146874.0,1054721.28,8632510.0,6801243.0,54892447.35,-3011681.75,-2943074.08,-7162122.34,-9470383.0,-9597149.0,-32184410.17
5908062.09,1253008.42,9609733.0,9608303.0,6113662.47,7589350.23,5647145.0,7894943.0,9979090.0,63603297.21,-8667193.0,-6950595.21,-9071232.0,-1796244.0,-2449333.69,-28934597.9
9441323.0,3110330.19,7166954.0,4744937.0,4194947.36,6147695.36,2205978.0,5889832.0,5138097.0,48040093.91,-4838349.85,-3382744.0,-1805470.09,-6170568.0,-5986707.99,-22183839.93
710604.15,9649340.0,1819329.17,6097387.81,6799784.24,538865.28,8021212.92,6653498.0,9411621.0,49701642.57,-5165634.0,-1584936.0,-8901978.0,-4577815.57,-4159946.58,-24390310.15
1888974.82,2580479.47,1159903.51,4900653.43,7724304.76,4712216.7,5313468.0,4983002.0,847634.03,34110636.72,-4877926.0,-4757062.0,-2795125.17,-7164803.0,-1446376.0,-21041292.17
8009637.03,9972095.0,9232947.0,4139884.78,1144337.32,1714325.0,4026495.03,1854366.66,7980927.05,48075014.87,-1556583.0,-860308.0,-8508725.0,-7165643.66,-2416414.0,-20507673.66
9147456.0,9435231.0,6104033.89,4496566.0,5614058.0,9552649.0,549067.63,6383461.0,5888180.81,57170703.33,-183603.0,-4570394.76,-2564871.36,-703104.0,-1033947.0,-9055920.12
1465763.19,4262667.0,382634.92,9278837.0,4096464.0,7567388.6,7752942.0,182210.0,1239164.02,36228070.73,-6122360.66,-4271902.25,-5383630.0,-605614.0,-6652091.0,-23035597.91
8997237.0,4594316.0,3232671.0,7477766.0,6725812.2,7963512.56,5846249.0,8477514.0,5345184.31,58660262.07,-7352825.0,-6907333.22,-5877857.0,-9819082.0,-6114914.0,-36072011.22
4201619.0,5447066.0,8734162.0,8718208.0,6178339.0,3239547.89,5820142.0,7829985.5,8474471.0,58643540.39,-8029900.0,-5770635.0,-4313231.03,-2703152.0,-3806168.0,-24623086.03
7840723.0,8886277.0,5087550.0,3486323.14,2138098.82,4923312.55,4581027.0,3005880.87,2057386.73,42006579.11,-8173477.0,-4334664.14,-2167800.0,-3255687.0,-3084592.0,-21016220.14
2777432.33,6240339.0,1163815.72,1728000.82,9555978.0,5194925.0,7793822.42,856614.97,4699232.0,40010160.26,-4783174.54,-3747677.0,-7367.0,-2724794.75,-4107014.21,-15370027.5
9216113.0,2007952.47,5309716.84,7995769.08,7455821.0,2074044.19,1615953.0,6892181.0,8475743.0,51043293.58,-9259151.0,-7468293.0,-107881.0,-874457.0,-7019136.0,-24728918.0
9672058.0,9867631.0,3420584.17,5309112.48,8812465.0,8527678.0,7500359.86,1041914.51,2963806.0,57115609.02,-1255718.0,-4251475.0,-1915861.0,-7938154.0,-4493363.0,-19854571.0
191553.44,3878885.56,6282329.0,742469.38,680768.65,7942138.66,4432244.87,2356421.66,7743082.0,34249893.22,-2558975.98,-9561598.0,-3602722.7,-8217634.0,-3451192.0,-27392122.68
2708000.0,2368346.72,4441832.0,2995917.73,8148087.0,2041381.66,8878418.0,914136.06,3576534.0,36072653.17,-7868381.0,-627449.0,-8230170.0,-3020808.0,-2520813.67,-22267621.67
2287442.0,9072470.0,851092.76,9074012.0,9584467.0,2027423.49,5224282.0,2207843.33,3244909.0,43573941.58,-899369.0,-9570661.0,-1045920.0,-620936.0,-5055604.44,-17192490.44
4092325.0,2613454.1,9552545.0,5075630.25,9895683.0,2426802.62,3181284.47,6529945.96,3415724.24,46783394.64,-5137659.41,-1959392.0,-7876704.06,-6737295.0,-8536016.0,-30247066.47
7027349.42,3778227.72,3885740.19,4862515.0,3228002.0,7051351.54,6228156.0,1838688.86,3375743.44,41275774.17,-5535477.02,-5360461.85,-4821115.0,-8913976.0,-3930860.14,-28561890.01
7620775.53,3411616.82,1819221.34,3924210.16,9816449.0,6939680.0,1557720.76,2433018.45,3955237.7,41477929.76,-2053249.0,-4551588.0,-1013555.0,-5369927.08,-6878757.0,-19867076.08
5348830.04,8428403.0,5717910.08,1894389.74,506402.87,7259884.0,510280.75,6961060.55,8990762.0,45617923.03,-723984.0,-3015429.0,-7926614.18,-1821039.43,-4844396.0,-18331462.61
7449195.95,3131344.34,5962936.0,2176166.0,5136182.65,6835704.64,4363427.0,8904006.0,9203343.0,53162305.58,-6041026.0,-739778.0,-4456326.0,-9054830.0,-1190923.0,-21482883.0
2292156.69,8945204.0,3979109.95,7942858.0,5048758.23,4712423.61,7607303.61,3356317.26,8503504.0,52387635.35,-5577276.0,-9710172.0,-5264452.73,-797787.0,-1843437.0,-23193124.73
5061540.0,8384818.38,5373752.0,4617207.76,3802815.26,5074417.7,7362191.0,9011742.0,7463096.99,56151581.09,-1966607.0,-7412825.57,-7296549.0,-35617.0,-6466348.0,-23177946.57
5807564.0,3550694.52,6831014.0,7257190.0,8806800.0,5029726.91,5823062.0,9016951.0,9115366.0,61238368.43,-2466184.52,-30025.0,-1963847.0,-7075852.58,-1228126.0,-12764035.1
6112991.0,7348803.69,6348747.11,4157382.42,9624123.0,7637052.92,2320871.0,5444385.0,7822109.0,56816465.14,-2142204.02,-4929751.36,-6240203.31,-3548641.48,-6018016.38,-22878816.55
838595.65,7591171.0,3724262.45,1365397.41,4436215.0,8029554.26,6815982.16,7055698.0,8437064.0,48293939.93,-9507301.0,-7128985.0,-2472719.0,-529662.0,-3011733.0,-22650400.0
1181930.07,4240138.0,6334206.37,5565309.0,4513731.0,454253.07,8000341.22,6559347.92,1144896.68,37994153.33,-6093046.0,-5788263.02,-3249632.17,-7532121.0,-6317063.0,-28980125.19
5528286.0,2857168.35,4126349.21,5134784.32,593687.83,7622210.51,6266253.0,393604.2,3545496.0,36067839.42,-8431439.0,-2935739.75,-9161602.0,-2497204.0,-7841688.0,-30867672.75
9945372.0,4180075.74,3630733.0,2379108.0,7521461.3,4720896.39,7169295.0,369202.03,1046788.36,40962931.82,-6529101.0,-9489268.0,-2313228.0,-7482473.37,-5541946.76,-31356017.13
5583806.63,2543145.0,1360718.15,3204216.59,482125.84,4162568.63,7652996.26,9884660.0,2462700.49,37336937.59,-879294.0,-7706284.0,-6655001.0,-1059106.0,-836453.0,-17136138.0
8121728.0,3940686.0,4774564.15,8278568.0,1992580.3,5503262.88,6322148.48,2733747.84,7665594.96,49332880.61,-9188729.0,-5772022.87,-7477828.0,-16868.0,-1974125.7,-24429573.57
4984933.0,1487923.33,1059903.08,9934393.0,4129033.77,4384159.61,9898826.0,4711858.0,1336850.0,41927879.79,-1587425.0,-6689996.0,-1226559.0,-8150375.19,-2711997.0,-20366352.19
4000499.0,5731992.27,7451003.24,3497832.42,662097.77,187760.0,1140846.81,1773044.62,6918693.96,31363770.09,-7253775.55,-7920678.0,-3091455.95,-6464511.0,-7512702.0,-32243122.5
4333586.0,9322980.0,5405942.0,320256.05,9946075.0,7415471.0,8076688.0,9612308.0,8503507.0,62936813.05,-695319.0,-9067653.0,-1822205.71,-5796207.0,-5082735.0,-22464119.71
6713357.61,231013.18,7950459.0,8505179.0,2736120.35,7904171.0,920183.82,9830352.0,6866318.0,51657153.96,-8997836.0,-1660793.63,-3206604.4,-6072907.0,-3263247.0,-23201388.03
